Date,Open,High,Low,Close,Adj Close,Volume,Previous Close,Daily Return,key
2019-12-30,15.24,15.24,15.1,15.13,14.872655,2515200,15.28,-0.9816753926701479,ICICI
2019-12-31,15.07,15.12,15.04,15.09,14.833336,2237400,15.13,-0.2643754130865891,ICICI
2020-01-02,15.14,15.24,15.13,15.23,14.970954,5234500,15.09,0.9277667329357228,ICICI
2020-01-03,15.02,15.06,14.88,14.92,14.666226,6245300,15.23,-2.0354563361785982,ICICI
2020-01-06,14.61,14.72,14.56,14.72,14.469628,9799600,14.92,-1.3404825737265367,ICICI
2020-01-07,14.55,14.62,14.52,14.58,14.332009,4644400,14.72,-0.951086956521743,ICICI
2020-01-08,14.61,14.76,14.53,14.71,14.459799,7532600,14.58,0.89163237311386,ICICI
2020-01-09,15.19,15.24,15.12,15.14,14.882485,6759300,14.71,2.9231815091774283,ICICI
2020-01-10,15.12,15.13,15.04,15.04,14.784185,5331300,15.14,-0.660501981505954,ICICI
2020-01-13,15.11,15.12,15.04,15.08,14.823505,4289000,15.04,0.2659574468085168,ICICI
2020-01-14,15.07,15.11,14.99,15.04,14.784185,5874100,15.08,-0.26525198938992656,ICICI
2020-01-15,15.02,15.06,14.94,14.98,14.725205,3983500,15.04,-0.3989361702127575,ICICI
2020-01-16,14.94,15.0,14.91,14.97,14.715377,5228000,14.98,-0.06675567423230833,ICICI
2020-01-17,14.9,14.93,14.82,14.86,14.607245,5010500,14.97,-0.7348029392117649,ICICI
2020-01-21,14.83,14.84,14.7,14.71,14.459799,8046200,14.86,-1.0094212651413095,ICICI
2020-01-22,14.63,14.63,14.53,14.55,14.302521,7171200,14.71,-1.0876954452753238,ICICI
2020-01-23,14.67,14.71,14.58,14.64,14.390989,7430800,14.55,0.6185567010309269,ICICI
2020-01-24,14.83,14.89,14.6,14.66,14.410649,8099600,14.64,0.13661202185792057,ICICI
2020-01-27,14.81,14.91,14.73,14.79,14.538438,9725500,14.66,0.8867667121418757,ICICI
2020-01-28,14.73,14.87,14.65,14.86,14.607245,5733500,14.79,0.47329276538201687,ICICI
2020-01-29,14.74,14.78,14.64,14.73,14.479458,3868200,14.86,-0.8748317631224698,ICICI
2020-01-30,14.69,14.78,14.6,14.73,14.479458,9431400,14.73,0.0,ICICI
2020-01-31,14.58,14.67,14.51,14.58,14.332009,6131600,14.73,-1.018329938900206,ICICI
2020-02-03,14.36,14.54,14.35,14.43,14.184562,7539100,14.58,-1.0288065843621423,ICICI
2020-02-04,14.8,14.9,14.75,14.83,14.577757,7259600,14.43,2.7720027720027742,ICICI
2020-02-05,15.01,15.09,14.97,15.05,14.794015,9319300,14.83,1.483479433580584,ICICI
2020-02-06,15.12,15.15,15.03,15.04,14.784185,8399600,15.05,-0.06644518272426288,ICICI
2020-02-07,14.92,15.02,14.84,14.94,14.685885,8251700,15.04,-0.6648936170212743,ICICI
2020-02-10,14.9,15.02,14.9,15.02,14.764526,6076400,14.94,0.5354752342704155,ICICI
2020-02-11,15.09,15.37,15.08,15.22,14.961124,6851800,15.02,1.3315579227696475,ICICI
2020-02-12,15.41,15.42,15.3,15.35,15.088913,6830600,15.22,0.8541392904073521,ICICI
2020-02-13,15.14,15.22,15.09,15.09,14.833336,5310600,15.35,-1.6938110749185653,ICICI
2020-02-14,15.17,15.22,15.06,15.09,14.833336,3188000,15.09,0.0,ICICI
2020-02-18,15.01,15.12,15.01,15.07,14.813675,3532900,15.09,-0.1325381047050999,ICICI
2020-02-19,15.26,15.26,15.13,15.16,14.902144,4374500,15.07,0.5972130059721291,ICICI
2020-02-20,15.16,15.22,15.07,15.16,14.902144,4689000,15.16,0.0,ICICI
2020-02-21,15.16,15.18,15.04,15.05,14.794015,3330900,15.16,-0.7255936675461704,ICICI
2020-02-24,14.46,14.63,14.37,14.4,14.15507,9600400,15.05,-4.318936877076414,ICICI
2020-02-25,14.66,14.68,14.4,14.42,14.17473,8177600,14.4,0.13888888888888593,ICICI
2020-02-26,14.53,14.69,14.38,14.44,14.19439,9065400,14.42,0.13869625520110662,ICICI
2020-02-27,14.19,14.28,14.01,14.08,13.840513,7550800,14.44,-2.4930747922437635,ICICI
2020-02-28,13.58,13.91,13.52,13.87,13.634086,12708600,14.08,-1.491477272727279,ICICI
2020-03-02,13.81,14.11,13.8,14.11,13.870004,6608900,13.87,1.7303532804614292,ICICI
2020-03-03,14.09,14.33,13.83,13.92,13.683235,9920600,14.11,-1.3465627214741283,ICICI
2020-03-04,13.84,13.85,13.47,13.58,13.349019,14919200,13.92,-2.442528735632183,ICICI
2020-03-05,13.47,13.48,12.96,13.05,12.828033,14304100,13.58,-3.902798232695135,ICICI
2020-03-06,12.93,12.94,12.66,12.91,12.690414,9525700,13.05,-1.0727969348659046,ICICI
2020-03-09,11.9,12.13,11.74,11.97,11.766404,9709200,12.91,-7.281177381874512,ICICI
2020-03-10,12.29,12.52,12.06,12.48,12.267727,9174400,11.97,4.2606516290726795,ICICI
2020-03-11,12.33,12.5,11.94,11.99,11.786063,13315400,12.48,-3.9262820512820524,ICICI
2020-03-12,11.0,11.06,10.0,10.45,10.272257,22784700,11.99,-12.844036697247713,ICICI
2020-03-13,12.02,12.02,11.13,11.38,11.186439,14526000,10.45,8.899521531100493,ICICI
2020-03-16,10.05,10.48,9.71,10.28,10.105147,9052100,11.38,-9.666080843585249,ICICI
2020-03-17,9.77,10.35,9.58,9.97,9.800421,13581200,10.28,-3.0155642023346183,ICICI
2020-03-18,9.0,9.39,8.7,9.14,8.984539,9505600,9.97,-8.324974924774322,ICICI
2020-03-19,8.69,8.77,8.01,8.01,7.873758,16434100,9.14,-12.363238512035018,ICICI
2020-03-20,8.43,8.54,7.84,8.02,7.883589,18693200,8.01,0.1248439450686615,ICICI
2020-03-23,7.38,7.46,6.86,6.9,6.782639,23255100,8.02,-13.965087281795501,ICICI
2020-03-24,7.3,7.57,6.91,7.14,7.018556,24071400,6.9,3.4782608695652075,ICICI
2020-03-25,7.67,8.18,7.67,7.98,7.844269,20470100,7.14,11.764705882352953,ICICI
2020-03-26,8.33,8.88,8.33,8.88,8.72896,14786400,7.98,11.278195488721808,ICICI
2020-03-27,8.47,8.74,8.28,8.62,8.473383,12414000,8.88,-2.927927927927945,ICICI
2020-03-30,8.2,8.45,8.1,8.41,8.266954,9858600,8.62,-2.436194895591637,ICICI
2020-03-31,8.33,8.61,8.31,8.5,8.355424,8525700,8.41,1.0701545778834702,ICICI
2020-04-01,8.0,8.02,7.65,7.72,7.588691,9404500,8.5,-9.176470588235297,ICICI
2020-04-02,7.76,7.91,7.6,7.87,7.73614,13482400,7.72,1.9430051813471552,ICICI
2020-04-03,7.29,7.42,7.15,7.23,7.107025,9946600,7.87,-8.132147395171534,ICICI
2020-04-06,7.76,8.16,7.62,8.03,7.893418,19217800,7.23,11.065006915629306,ICICI
2020-04-07,8.39,8.64,8.2,8.3,8.158826,11693400,8.03,3.3623910336239273,ICICI
2020-04-08,8.19,8.69,8.19,8.64,8.493044,12066500,8.3,4.096385542168672,ICICI
2020-04-09,8.9,9.3,8.89,9.04,8.88624,11342700,8.64,4.629629629629613,ICICI
2020-04-13,8.87,8.92,8.63,8.9,8.74862,17301700,9.04,-1.5486725663716683,ICICI
2020-04-14,9.04,9.21,8.93,9.04,8.88624,10215100,8.9,1.5730337078651548,ICICI
2020-04-15,8.54,8.67,8.43,8.56,8.414404,6811200,9.04,-5.309734513274321,ICICI
2020-04-16,8.83,8.94,8.73,8.77,8.620831,10295800,8.56,2.4532710280373724,ICICI
2020-04-17,9.61,9.73,9.41,9.53,9.367905,13040400,8.77,8.665906499429871,ICICI
2020-04-20,9.27,9.38,9.11,9.21,9.053347,7430000,9.53,-3.3578174186778442,ICICI
2020-04-21,8.54,8.67,8.34,8.47,8.325934,10846000,9.21,-8.034744842562434,ICICI
2020-04-22,8.71,9.06,8.69,9.0,8.846919,13019900,8.47,6.257378984651704,ICICI
2020-04-23,9.26,9.36,9.01,9.04,8.88624,6928000,9.0,0.444444444444435,ICICI
2020-04-24,8.9,8.93,8.62,8.72,8.571682,6203400,9.04,-3.5398230088495417,ICICI
2020-04-27,8.99,9.25,8.94,9.23,9.073007,5490400,8.72,5.848623853211006,ICICI
2020-04-28,9.56,9.61,9.21,9.26,9.102497,7590600,9.23,0.32502708559045895,ICICI
2020-04-29,9.69,10.19,9.69,10.14,9.967529,13180500,9.26,9.503239740820742,ICICI
2020-04-30,9.95,10.05,9.61,9.76,9.593992,8074600,10.14,-3.747534516765293,ICICI
